PID,비표_ID,C_Q1,C_Q1_1,C_Q1_2,C_Q2,C_Q3_1,C_Q3_2,C_Q3_3,C_Q3_4,C_Q3_5,C_Q3_6,C_Q4_1,C_Q4_2,C_Q4_3,C_Q4_4,C_Q4_5,C_Q4_6,C_Q4_7,C_Q4_8,C_Q5,C_Q6_1,C_Q6_2,C_Q6_3,C_Q6_4,C_Q6_5,C_Q6_6,C_Q6_7,C_Q6_8,C_Q6_9,C_Q6_10,C_Q7_1,C_Q7_2,C_Q8,C_Q9,C_Q10,C_Q11,C_Q12,C_Q13,C_Q14,C_Q15,C_DQ1,C_DQ2,C_DQ3,C_DQ4,C_DQ5,C_DQ6,D_Q1,D_Q1_1,D_Q1_2,D_Q2,D_Q3_1,D_Q3_2,D_Q3_3,D_Q3_4,D_Q3_5,D_Q3_6,D_Q4_1,D_Q4_2,D_Q4_3,D_Q4_4,D_Q4_5,D_Q4_6,D_Q4_7,D_Q4_8,D_Q5_1,D_Q5_2,D_Q5_3,D_Q5_4,D_Q5_5,D_Q5_6,D_Q5_7,D_Q5_8,D_Q5_9,D_Q5_10,D_Q6_1,D_Q6_2,D_Q7,D_Q8,D_Q9_M1,D_Q9_M2,D_Q9_1,D_Q10_M1,D_Q10_M2,D_Q10_1,D_Q11,D_Q12,D_Q13,D_Q14,D_Q15,D_Q16,D_Q17,D_Q18,D_Q19_1,D_Q19_2,D_Q19_3,D_Q19_4,D_Q19_5,D_Q19_6,D_Q19_7,D_Q19_8,D_Q20_1,D_Q20_2,D_Q20_3,D_Q20_4,D_Q20_5,D_Q20_6,D_Q20_7,D_Q20_8,D_Q20_9,D_Q20_10,D_Q20_11,D_Q20_12,D_Q20_13,D_Q20_14,D_Q21_1,D_Q21_2,D_Q21_3,D_Q21_4,D_Q21_5,D_Q22_1,D_Q22_2,D_Q22_3,D_Q22_4,D_Q22_5,D_Q22_6,D_Q23,D_Q23_1,WT4
1102015,80,1,5.0,,1,1,1,2,2,2,1,1,1,1,1,3,1,1,3,1,3,6,4,6,1,3,1,5,4,5,2,3,2,4,4,3,4,3,3,3,3,99,9,9,9,9,1,5.0,,1,1,1,2,2,2,1,2,3,5,3,3,4,2,2,1,3,1,5,3,5,2,6,4,4,1,2,1,1,1,3.0,"기존 원전의 안전성을 보강하기 위한 수리,보수할 것 건설재개를 주장하던 사람들도 납득할 수 있을  '건설중단결정과정' 및 근거 공개와 설득작업,안정성있는 전력공급이 가능하다는 주장에 대한 근거와 자료를 마련->사회적설득작업,최근 일부산업전력이 직원들의 개인적인 비토코인을  만다는 과정에 사용됐죠 기업의 전력낭비를 막는 정책 꼭 필요합니다",2,4.0,노후원전수명연장하지말것  건설허가최소소송중인만큼 그에 대한 의혹해소작업 스스로 정당성 먼저 회복해야할 것,3,1,2,2,4,3,4,3,2,5,5,1,1,1,1,1,3,3,2,1,2,2,2,1,2,1,2,3,2,1,1,1,3,3,3,1,1,1,1,1,1,1,공론화위원회가 생기기 전부터  원전에 관심이 많았고 공론화위원회에서 시민참여단을 구성한다는 소식도 알고 있었습니다 그런 와중에 시민참여단으로 선정돼 무척 영광스러웠습니다 이 곳에 오기 전에  안일한 태도로 접해왔던 원전 및 에너지문제를 폭 넓고 깊게 숙의할 수 있었습니다 또한 나와 다른 사람들과 의견을 나누는 과정을 통해 더욱 성장할 수 있었습니다 따라서 매우 뜻깊은 시간이었고 매우 만족합니다 고생 많으셨습니다 고맙습니다,1.09
1102016,322,1,2.0,,2,1,2,2,3,3,2,5,5,3,3,5,2,5,4,4,2,6,3,5,2,3,2,6,6,6,1,2,5,5,5,5,3,5,3,5,3,3,4,7,4,1,1,1.0,,2,1,1,3,2,3,2,5,5,5,3,5,5,4,4,2,4,2,3,4,2,6,7,5,2,2,2,1,2,1,4.0,시민들이 안심할 수 있을 정도의 경제적인 가격의 신재생에너지가 빨리 개발되는 게 좋을 것 같다,2,1.0,우리나라는 기후적으로 신재생에너지를 지향하기에 적합하지 않다고 들었는데 건설을 재개하게 된다면 서둘러  신재생에너지개발에 힘써야 한다고 생각하고 그에 따른 정책과 경제적 측면에서도 확실한 대안이 있었으면 좋겠다,1,1,5,5,2,4,3,3,6,3,6,3,6,2,3,3,4,5,3,3,3,2,3,5,2,5,4,2,3,4,2,2,3,2,2,1,3,3,2,3,2,3,재개와 중단측 두 입장 중 어느 쪽 말을 믿어야 하는지 도저히 감이 안잡히고 최대한 설문조사를 꼼꼼히 임했기  때문에 정부가 어느 누군가 비리를 저지르거나 시민한테 숨기는 것 없이 바른 쪽으로 정책을 추진한다면 믿고 따를 것 같다,2.21
1102022,111,1,2.0,,1,1,2,5,3,5,1,3,4,3,4,3,3,2,5,1,2,7,2,6,1,5,1,7,3,5,1,6,3,1,2,4,4,3,4,3,3,5,2,5,2,5,1,2.0,,1,1,2,2,4,2,1,3,4,5,3,6,4,3,5,1,6,2,7,2,6,2,7,2,7,1,7,1,2,1,4.0,원전부지 주변 주민들에 대한 적절한 피해보상 현재 발전원의 전반적인 재정비를 통한 안정적인 전력수급 계획 수립,2,3.0,원자력 관련 정보를 투명하게 공개하고 한수원 등 관련 기업들의 적폐청산,3,1,2,2,4,3,4,3,5,3,2,2,2,1,1,2,2,2,1,1,1,3,2,3,2,2,3,5,3,2,1,1,2,1,1,1,1,2,2,1,1,2,국가가 국회의원과 자치단체  위원장이 아닌 국민들에게 의견을 묻고 수용하는 과정은 국민이 국회에 위임한 권한을  지켜나가는 방법이며 국가에 대한 국민의 신뢰를 찾아가는 방법이라고 생각합니다  이번 정부가 국민을 생각하고 대하는 철학을 잘 알고 체험하는 기회가 되었습니다,1.09
1102029,334,1,2.0,,1,1,2,1,2,2,1,3,1,1,2,3,2,1,1,1,2,6,2,6,2,5,2,7,2,6,1,6,3,1,2,2,2,3,4,3,3,6,2,7,4,5,1,2.0,,1,1,2,2,3,3,1,3,6,7,2,3,4,2,3,1,5,1,5,1,6,2,7,2,7,2,6,1,2,1,3.0,중단부지건설하기 위해 이주했던 사람들 지원,3,4.0,원전이 밀집된만큼 연쇄중단의  위험이 있기 때문에 일정거리안 원전의 안전관리기준안을 입법해야 한다,3,1,2,2,4,3,4,3,4,5,6,3,3,4,2,3,5,5,1,1,1,2,2,4,3,2,2,4,3,1,4,2,1,1,1,1,1,1,1,2,1,1,합숙을 통해 하나의 주제로 각각 다른 의견을 가진 사람들을 같은 자료로 교육하고 동일한 주제를 생각하고 있는 다른 사람들과 의견을 교환할 기회가 생기면서 더 많이 깊이 생각한 후에 최종결정을 내리는 방식이기 때문임,1.09
1102050,345,3,,,2,2,3,3,2,3,2,4,4,3,3,4,3,2,4,3,2,3,5,3,4,4,2,4,3,5,4,3,3,4,2,4,4,3,3,3,3,5,3,5,2,5,2,,2.0,1,2,2,3,3,4,3,5,3,3,3,4,4,3,4,3,3,4,3,4,4,3,3,4,5,4,3,2,1,1,2.0,전력이 남는다는 주장이 있는데 남지 않고 정전이 되어버린다면 추후 어떤 방법이 있는지 반대쪽에서 책임을 걸 수 있는지 환경에 도움이 된다는 친환경이 문제가 될 경우의 해결방안,3,1.0,"주민들의 대피소, 반대여론의 대처,주민의 안전성 관리,이번 5,6호기 이후에도 원전계획이 있는지 있다면 얼만큼의 전력비중을 둘 것인지 30%가 넘는데 더 추가가 될 경우 또 시민공론회를 만들 것인지",3,4,2,2,4,3,2,3,4,5,5,3,4,1,4,3,3,4,2,1,1,3,3,2,2,1,2,3,5,2,3,1,1,1,1,3,2,2,1,2,1,2,"전문가의 질문,답변 듣는 시간이 좀더 길게 적용됐으면 좋겟습니다 식사를 하는 부분에 인원을 정해 먼저 입장했으면 합니다 일정이 길었지만 내용토의가 충분히 되지 않아서 조금 더 시간이 필요합니다",2.21
1102067,192,2,,2.0,2,2,1,1,1,2,3,4,3,2,4,5,1,1,5,1,3,5,6,3,4,2,5,2,4,2,5,2,3,4,2,5,4,5,3,3,3,4,2,7,4,5,3,,,1,1,1,1,1,3,2,5,6,6,6,3,6,6,6,2,7,4,3,3,2,2,4,4,3,6,6,2,1,1,3.0,재생에너지를 원전처럼 실용적으로 활용하는 방안을 모색 후 경제성 안정성 환경성 다 추구한다,1,3.0,사익을 추구하는 것을 막는 제도를 더 강화 한다,3,4,2,4,4,1,3,3,4,1,4,1,2,2,2,2,5,4,1,1,3,2,5,3,6,6,3,4,4,4,2,1,1,1,1,1,2,2,2,3,1,3,1.시민 참여단을 구성해 국민의 생각을 나누는 '과정'만으로도 정치 사안에 관심을 갖게 되고 시민의식을 고취 시키는데에 큰 도움이 된다고 생각한다 2.양측이 '사실'이라고 주장하는 자료마저 서로 다르다. 이를 지켜 보면서 그들은 진정으로 국가를 위해 생각하는 것이 아니라 어디까지나 '이해관계' 속에 있다는 것을 느꼈다. 서로 각자의 주장만 펼치는건 토론이 아니다. 양측이 서로 대화하며 다른 주장을 서로 반론하거나 중립전문가가 나와서 이들의 주장과 자료를 팩트체크해 준다면 명쾌했을 것이다.토론 방식이 아쉽다. 내용 또한 자료집안 봐도 알 수 있는 얘기들의 반복이었다,0.89
1103001,79,1,1.0,,1,1,2,3,4,3,2,4,3,1,2,5,1,1,5,1,2,4,3,6,1,5,2,6,1,6,3,4,2,1,2,2,4,3,4,3,3,6,2,5,5,5,1,1.0,,1,1,2,3,4,4,2,4,4,4,3,5,4,2,4,2,3,2,6,2,6,2,6,2,6,2,3,1,2,1,3.0,"신고리 5,6호기를 비롯해 다수의 원자로가 모여있는 서생면 일대의 주민들에 대한 이주/생계 대책 지원. 이미 앞서 건설된 원자로들 때문에 다른 생계 방안을 찾기 힘들것으로 예상되기 때문이다",2,4.0,"추가 원전 건설계획 혹은 탈원전 여부에 대한 공론화 개최. 이번 공론화보다 더 개선되고 기간이 길게, 체계적으로 해야함",3,1,2,2,4,3,4,3,3,5,6,1,2,2,2,3,3,3,1,1,2,2,3,4,4,2,3,3,5,2,2,2,1,1,1,1,1,2,1,1,1,1,"일방적인 정책 결정이 아니라 대표성을 지닌 소수의 국민의 의견을 경청해 '깜깜이''묻지마'결정을 지양했기 때문이다. 다양한 지역/연령대의 시민들과 의견 교류를 함으로써 내가 다른 사람들과 비교해  어떤지를 다소나마 가늠할수 있는 기회가 되었다. 더불어, 국가 정책을 결정하는데 열심히 참여했다는 보람도 느낄수 있었다. 이러한 공론화 과정이 앞으로 더욱 개선/활발해 졌으면 좋겠다",0.98
1103002,331,2,,2.0,1,1,2,2,2,3,2,3,3,1,2,3,1,2,1,2,6,4,5,4,5,5,4,3,4,3,3,2,3,1,2,3,4,1,4,3,3,8,2,5,6,1,2,,1.0,1,1,2,2,3,2,2,4,2,5,4,4,4,3,3,5,4,4,4,6,4,5,2,5,2,3,2,2,2,1,3.0,LNG 발전 비중 확대는 동의할 수 없음. 신재생에너지를 최대한 빨리(2025년도까지) 확대해야 함.,4,1.0,구형 원전의 적기 퇴역(신재생에너지의 경제성이 증가됨에 따라),3,1,2,2,4,3,4,3,6,4,3,2,3,3,3,2,2,2,2,2,2,2,2,4,1,1,1,3,6,1,1,2,2,2,2,1,1,2,1,2,1,1,"직접민주주의에 해당하는 국민투표는 사회적 비용이 너무 크고 국회의원을 통한 대의민주주의는 국민들의 의견이 제대로 반영된다고 믿기 어렵다. 또한 국민투표 역시 대대수의 제대로 학습되지 않은 유권자들로 인해 올바른 결정이 이뤄진다고 보기 어려운데 이러한 공론화 과정을 통해 국 민들이 숙의를 통해 정책결정에 국민의 의견을 직접 반영할 수 있겠다는 점에서 공론 화 과정을 지지한다. 다만, 공론화 토론과정에서 준비부족으로 자료집의 검증이 부족 한 점이나 참여국민의 수가 500명으로 전체 국민수 대비 너무 적다는 점은 차후에 법 제화를 통해 보완되었으면 하는 바이다.",1.02
1103007,423,1,1.0,,1,1,2,2,1,2,1,1,1,1,3,1,1,1,3,1,2,6,2,6,1,7,2,6,1,6,1,6,3,4,2,3,2,1,4,5,3,6,2,5,5,5,1,1.0,,1,1,1,4,1,3,1,4,6,6,1,3,2,6,1,1,5,2,6,1,6,1,6,1,6,1,6,1,1,1,4.0,해당 기업과 공기업에 대한 보상보다 우선 그 지역 주민들에게 양해를 반드시 얻고 적정한 보상이 꼭 이루어져야 한다. 해당 지역 위주의 충분한 합의와 보상,1,4.0,원전사업과 기득권과의 연결고리를 끊어야 한다(원전비리에 대한 엄중한 처벌과 원전사고 은폐에 대한 엄중한 처벌),3,4,2,3,2,1,4,2,3,5,5,3,2,2,2,2,3,3,2,2,2,2,2,3,2,2,3,4,5,2,4,1,2,2,1,1,2,2,1,1,1,1,랜덤(RANDOM) 방식으로 추첨된  시민들이 한 자리에 모여서 공론화 방식을 걸쳐 의견을 수렴한다는 것은 전에 없던 시민들의 의견들을 수용하는 방식이므로 결과를 떠나서 시도를 했고 시행했다는 점에서 민의주의 방식에 맞다고 생각하기 때문이다. 첫 시도를 했다는 점에서 매우 만족한다,0.98
1103017,19,2,,4.0,3,1,1,2,1,3,1,1,2,1,1,1,2,1,3,2,7,1,7,1,5,1,3,4,7,1,7,1,3,4,2,1,4,1,3,3,2,4,3,5,2,5,2,,4.0,3,1,1,1,1,3,1,3,1,1,2,3,5,1,4,5,2,6,6,4,1,4,1,7,1,5,1,2,1,2,1.0,대기업이 달려들 경우  중소기업들은 힘들어집니다 거기에 대한 방안,3,1.0,핵생들 그리고 시민들이  신청하면 견학을 해야 합니다,3,1,2,1,4,1,2,3,2,3,4,2,3,3,3,1,3,2,2,3,1,2,2,3,1,3,2,1,4,1,1,1,1,1,1,1,1,1,1,2,1,1,처음 참여했습니다 나의 의견과 내가 모른 정보를 알 수 있고 토의할 수 있어서 좋았습니다,1.02
1103018,234,3,,,1,1,1,1,3,2,2,1,2,3,3,3,3,2,3,2,3,4,4,3,1,5,3,2,3,4,3,4,3,1,1,2,4,3,4,3,3,6,4,5,6,3,3,,,1,1,1,2,2,2,2,2,3,4,4,3,4,4,4,3,4,5,3,3,4,3,3,4,3,3,2,2,1,1,2.0,"1.폐로예정인 고리 2,3,4원전의 안정성 확보하여 연장운영을 위해 노력하여 에너지부족사태에 대비 2.신재생에너지로 인한 환경문제,보상문제 등 발생할 수 있는 상황에 대해서도 비중있게 대비",4,2.0,안전성확보를 위해 대통령 직속 산하기구를 만들어 투명한 감시가 가능토록 한다,3,1,2,2,4,3,4,3,5,4,3,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,"1.정부가 독단적으로 결정하지  않고 한번 더 국민의 의사를 들어보고자 노력한 점 2.위원회가 되도록 공정하고  중립적으로 진행한 점 3.찬,반 극단적인 선택만이 아닌 대안이나 절충안에 대해서도 논의한 점 4.질의응답을 듣고 납득하지 못하거나 의무이 있는 경우 국가질문을 할 수 없어서 아쉬움",1.19
1103023,144,1,4.0,,1,2,4,4,5,5,2,1,2,2,3,2,1,1,2,1,3,3,2,4,1,3,3,5,4,3,1,3,3,4,2,3,4,3,2,3,2,2,2,6,3,5,1,4.0,,1,1,3,3,2,3,1,3,4,5,3,3,4,4,4,1,3,2,4,1,5,2,4,3,4,2,4,1,2,1,2.0,건설지역 주민에 대한 보상,4,2.0,"원전에 관련된 모든 내용을 공개하고 투명하게 유지, 관리해야 한다",3,1,2,3,4,3,3,3,7,3,1,3,3,3,4,2,4,3,1,1,2,3,3,2,2,2,2,4,4,2,3,2,2,1,1,1,1,3,2,2,1,2,분임토의시 공간이 부족해서  다른 분임들 소리에 많이 집중하기 어려웠다. 식사시 한번에 내려가서 기다리는 시간이 많이 불편했다. 전문가들의 견해가 많이 상반되어서 약간 신뢰가 떨어지는 부분이 많았다,0.98
